,Цена,Диагональ экрана,Объем накопителя SSD,Объем оперативной памяти,Количество ядер процессора,Комплектация,Емкость аккумулятора,Вес,Операционная система
Ноутбук Acer Nitro 5 AN515-46 R5165SGN (NH.QGXER.005),73 536 ₽,"15.6""",512 Гб,16,6,,,,noOS
Ноутбук HP 14 HD TN Intel Core i5-1135G7 2.4ГГц 8Гб DDR4 RAM,53 900 ₽,14,256 Гб,8,4,,41 Вт*ч,1.8 кг,Windows 11
"Acer Ноутбук Acer Swift 3 SF314-511 Core i3 1115G4/8Gb/SSD256Gb/14""/IPS/FHD/Win10/blue",66 490 ₽,14,256 Гб,8 ГБ,2,Ноутбук - 1 шт,,1.2 кг,Windows 10 Home
Ноутбук Acer EX215-22-R5D4 15.6/Ryzen 3/8Gb/(NX.EG9ER.02M),34 950 ₽,"15.6""",512 ГБ,8 ГБ,,,,,noOS
"Ноутбук ASUS /512SSD/15.6""IPS/RTX3060 6Gb(90NR05X1-M06720)",115 900 ₽,15.6,512,16 ГБ,4,"Ноутбук, документация, зарядный блок",,2.3 кг,Windows Home
"Ноутбук Lenovo 3 i5-1135G7/8Gb/512SSD/15.6""/DOS (82H80394AK)",49 200 ₽,15.6,512,8 ГБ,4,"Ноутбук, документация, блок питания",,1.65 кг,Без системы
Ноутбук Probook 440 G9 (6A1W7EA#BJA),83 991 ₽,14 дюймов,256 Гб,8 ГБ,6 ядер,,,,win 11 pro
"Ноутбук VIVOBOOK 16X 16"" R7-5800H 16/512ГБ silver",62 248 ₽,16,512 Гб,16,8,ноутбук,50 Втч,1.88 кг,нет
"Ноутбук X757 17,3""165Гц/R7-5800H/16ГБ/1ТБ SSD/RTX3070/Черный",121 279 ₽,17.3,1 тб,16,8,"Ноутбук, Блок питания, Инструкция",4100 ма*ч,2.4 кг,Linux
"Ноутбук HP 15s-eq2101ur 15.6""/8 GB [5R308EA]",39 679 ₽,"15.6""",256 Гб,8,6,,,,noOS
"Ноутбук 15.6"" EVE 15 P417 Celeron N4000 8Gb SSD256Gb W11H",22 213 ₽,"15.6""",256 Гб,8 ГБ,2-ядерный,"Ноутбук-1шт.,документация-1шт.",5000 мАч,1.54 кг,Windows 11 Home
"Ноутбук AZ-1601 16""/4x2.0GHz/16Gb/1Tb",31 635 ₽,"16""",1024 Гб,16 ГБ,4,"Ноутбук, блок питания, инструкция, упаковка.",4400 mAh,1.9 кг,Windows
"Игровой Ноутбук TUF F15 15.6"" i5 10300H 8/512ГБ SSD GTX 1650",70 746 ₽,15.6,512 Гб,8 ГБ,4,документация; адаптер питания; ноутбук,48 Вт⋅ч,2.3 кг,Без операционной системы
"Ноутбук Acer TravelMate P215-52-59RK (i51210U/8Gb/256GbSSD/15.6""FHD/UHDGraphics/W10pro) NX.VLLER.00L",69 805 ₽,15.6'',256 Гб,8 ГБ,4,инструкция; блок питания; ноутбук; гарантийный талон,3220 мА*ч,1.8 кг,Windows 10 Pro
"Ноутбук HP 250 G8 i3-1115G4 /8Gb/256GbSSD/15.6""FHDAG IPS/DOS",56 630 ₽,15.6,256,8 ГБ,2,"Ноутбук, документация, блок питания",,1.74 кг,Без ОС
